Threshold	Present_genes
50	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
55	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
60	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
65	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
70	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
75	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
80	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
85	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
90	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
95	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
100	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
105	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
110	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
115	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
120	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
125	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
130	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
