Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	EFAU004_00087	gpmA	89858	687	phosphoglycerate mutase	125	EFAU004_00087.fasta	
	EFAU004_00088		90716	582	resolvase family site-specific recombinase	143	EFAU004_00088.fasta	
	EFAU004_00089	rpiA	91430	684	ribose 5-phosphate isomerase A	124	EFAU004_00089.fasta	
	EFAU004_00090	rpsL	92432	414	30S ribosomal protein S12	70	EFAU004_00090.fasta	
	EFAU004_00091	rpsG	92929	471	30S ribosomal protein S7	77	EFAU004_00091.fasta	
	EFAU004_00092	fusA	93493	2088	translation elongation factor G	270	EFAU004_00092.fasta	
	EFAU004_00093	tuf	95752	1188	elongation factor Tu	159	EFAU004_00093.fasta	
	EFAU004_00094	rpsJ	97346	309	30S ribosomal protein S10	94	EFAU004_00094.fasta	
	EFAU004_00096	rplD	98342	624	50S ribosomal protein L4	114	EFAU004_00096.fasta	
	EFAU004_00097	rplW	98965	291	50S ribosomal protein L23	56	EFAU004_00097.fasta	
	EFAU004_00098	rplB	99294	834	50S ribosomal protein L2	120	EFAU004_00098.fasta	
	EFAU004_00099	rpsS	100170	279	30S ribosomal protein S19	54	EFAU004_00099.fasta	
	EFAU004_00100	rplV	100471	348	50S ribosomal protein L22	48	EFAU004_00100.fasta	
	EFAU004_00101	rpsC	100832	657	30S ribosomal protein S3	128	EFAU004_00101.fasta	
	EFAU004_00102	rplP	101491	435	50S ribosomal protein L16	79	EFAU004_00102.fasta	
	EFAU004_00104	rpsQ	102128	267	30S ribosomal protein S17	44	EFAU004_00104.fasta	
	EFAU004_00105	rplN	102452	369	50S ribosomal protein L14	49	EFAU004_00105.fasta	
	EFAU004_00106	rplX	102857	309	50S ribosomal protein L24	114	EFAU004_00106.fasta	
	EFAU004_00107	rplE	103193	540	50S ribosomal protein L5	96	EFAU004_00107.fasta	
	EFAU004_00108	rpsZ	103751	186	30S ribosomal protein S14	36	EFAU004_00108.fasta	
	EFAU004_00109	rpsH	103972	399	30S ribosomal protein S8	58	EFAU004_00109.fasta	
	EFAU004_00110	rplF	104402	537	50S ribosomal protein L6	93	EFAU004_00110.fasta	
	EFAU004_00111	rplR	105099	357	50S ribosomal protein L18	61	EFAU004_00111.fasta	
	EFAU004_00112	rpsE	105476	501	30S ribosomal protein S5	74	EFAU004_00112.fasta	
	EFAU004_00113	rpmD	105991	180	50S ribosomal protein L30	33	EFAU004_00113.fasta	
	EFAU004_00114	rplO	106214	441	50S ribosomal protein L15	100	EFAU004_00114.fasta	
	EFAU004_00115	secY	106654	1296	preprotein translocase subunit SecY	209	EFAU004_00115.fasta	
	EFAU004_00116	adk	108011	648	adenylate kinase	124	EFAU004_00116.fasta	
	EFAU004_00117	infA	108849	219	translation initiation factor IF-1	39	EFAU004_00117.fasta	
	EFAU004_00118		109100	117	50S ribosomal protein L36	23	EFAU004_00118.fasta	
	EFAU004_00119	rpsM	109234	366	30S ribosomal protein S13	67	EFAU004_00119.fasta	
	EFAU004_00120	rpsK	109627	390	30S ribosomal protein S11	72	EFAU004_00120.fasta	
	EFAU004_00121	rpoA	110096	939	DNA-directed RNA polymerase subunit alpha	199	EFAU004_00121.fasta	
	EFAU004_00122	rplQ	111062	381	50S ribosomal protein L17	53	EFAU004_00122.fasta	
	EFAU004_00124	cbiO_2	112529	870	cobalt import ATP-binding protein CbiO 2	187	EFAU004_00124.fasta	
	EFAU004_00126		114388	747	tRNA pseudouridine synthase A	180	EFAU004_00126.fasta	
	EFAU004_00127	yfhO	115467	2670	Bacterial membrane protein YfhO	480	EFAU004_00127.fasta	
	EFAU004_00128	rpmB	118374	189	50S ribosomal protein L28	40	EFAU004_00128.fasta	
	EFAU004_00129		118832	363	alkaline-shock protein	53	EFAU004_00129.fasta	
	EFAU004_00130	yloV	119246	1683	DAK2 domain fusion protein YloV	288	EFAU004_00130.fasta	
	EFAU004_00131	recG	121045	2037	ATP-dependent DNA helicase RecG	364	EFAU004_00131.fasta	
	EFAU004_00132	plsX	123130	1002	fatty acid/phospholipid synthesis protein PlsX	231	EFAU004_00132.fasta	
	EFAU004_00133		124253	243	acyl carrier protein	47	EFAU004_00133.fasta	
	EFAU004_00134		124763	1005	peptide ABC transporter ATP-binding protein	151	EFAU004_00134.fasta	
	EFAU004_00135	oppF	125768	945	peptide ABC transporter ATP-binding protein	163	EFAU004_00135.fasta	
	EFAU004_00136		126712	963	ABC transporter permease	126	EFAU004_00136.fasta	
	EFAU004_00137		127701	915	ABC transporter permease	139	EFAU004_00137.fasta	
	EFAU004_00138		128641	1782	family 5 extracellular solute-binding protein	311	EFAU004_00138.fasta	
	EFAU004_00139	rnc	130770	687	ribonuclease III	135	EFAU004_00139.fasta	
	EFAU004_00140		131476	3582	chromosome partition protein SMC	575	EFAU004_00140.fasta	
	EFAU004_00141		135066	810	HAD superfamily hydrolase	183	EFAU004_00141.fasta	
	EFAU004_00142	ftsY	135886	999	signal recognition particle-docking protein FtsY	200	EFAU004_00142.fasta	
	EFAU004_00143		137071	2268	bifunctional glutamate--cysteine ligase/glutathione synthetase	373	EFAU004_00143.fasta	
	EFAU004_00144		139427	453	hypothetical protein	194	EFAU004_00144.fasta	
	EFAU004_00146		140972	960	iron ABC transporter system permease	262	EFAU004_00146.fasta	
	EFAU004_00147	yclP	141928	756	iron ABC transporter ATP-binding protein	177	EFAU004_00147.fasta	
	EFAU004_00148		142706	954	iron ABC transporter substrate-binding protein	275	EFAU004_00148.fasta	
	EFAU004_00151		144954	357	hypothetical protein	78	EFAU004_00151.fasta	
	EFAU004_00152		145320	900	Calcineurin-like phosphoesterase	192	EFAU004_00152.fasta	
	EFAU004_00162		155131	735	glycerol uptake facilitator protein	95	EFAU004_00162.fasta	
	EFAU004_00164		156595	702	LrgB family protein	210	EFAU004_00164.fasta	
	EFAU004_00165		157296	1587	M protein trans-acting positive regulator	345	EFAU004_00165.fasta	
	EFAU004_00166		158901	222	hypothetical protein	55	EFAU004_00166.fasta	
	EFAU004_00167		159119	762	aldose dehydrogenase	166	EFAU004_00167.fasta	
	EFAU004_00168		160260	510	hypothetical protein	144	EFAU004_00168.fasta	
	EFAU004_00169		160844	540	BioY family protein	117	EFAU004_00169.fasta	
	EFAU004_00170	rpsD	161523	612	30S ribosomal protein S4	96	EFAU004_00170.fasta	
	EFAU004_00171		162450	798	formate/nitrite transporter	208	EFAU004_00171.fasta	
	EFAU004_00172		163275	636	DNA alkylation repair protein	219	EFAU004_00172.fasta	
	EFAU004_00173		163930	774	HAD superfamily hydrolase	152	EFAU004_00173.fasta	
	EFAU004_00174		165111	798	calcineurin-like phosphoesterase	137	EFAU004_00174.fasta	
	EFAU004_00176	mutS	166283	2646	DNA mismatch repair protein MutS	396	EFAU004_00176.fasta	
	EFAU004_00177		168946	2109	DNA mismatch repair protein	436	EFAU004_00177.fasta	
	EFAU004_00178		171076	561	maf protein	129	EFAU004_00178.fasta	
	EFAU004_00179		171721	1989	PTS system, trehalose/maltose-specific, IIBCA component	357	EFAU004_00179.fasta	
	EFAU004_00180		173932	714	GntR family transcriptional regulator	145	EFAU004_00180.fasta	
	EFAU004_00181	msrB	174722	447	peptide methionine sulfoxide reductase MsrB	97	EFAU004_00181.fasta	
	EFAU004_00182	ruvA	175338	603	Holliday junction DNA helicase RuvA	130	EFAU004_00182.fasta	
	EFAU004_00183	ruvB	175953	1002	Holliday junction DNA helicase RuvB	154	EFAU004_00183.fasta	
	EFAU004_00184		176983	579	TetR family dihydroxyacetone kinase regulator	132	EFAU004_00184.fasta	
	EFAU004_00185		177613	483	phosphotyrosine protein phosphatase	178	EFAU004_00185.fasta	
	EFAU004_00186		178212	375	hypothetical protein	120	EFAU004_00186.fasta	
	EFAU004_00188		180548	1353	branched-chain amino acid transport system II carrier protein	275	EFAU004_00188.fasta	
	EFAU004_00190	aapA	182765	1350	amino acid permease	267	EFAU004_00190.fasta	
	EFAU004_00191		184282	741	amino acid ABC transporter ATP-binding protein	153	EFAU004_00191.fasta	
	EFAU004_00192		185035	1593	amino acid ABC transporter permease	374	EFAU004_00192.fasta	
	EFAU004_00193		186666	192	hypothetical protein	72	EFAU004_00193.fasta	
	EFAU004_00194		187195	297	hypothetical protein	67	EFAU004_00194.fasta	
	EFAU004_00196		188385	843	maltose O-acetyltransferase	250	EFAU004_00196.fasta	
	EFAU004_00197		189230	522	transcriptional regulator	123	EFAU004_00197.fasta	
	EFAU004_00198	def	190004	564	peptide deformylase	116	EFAU004_00198.fasta	
	EFAU004_00199	rpsO	190818	270	30S ribosomal protein S15	88	EFAU004_00199.fasta	
	EFAU004_00200	pnp	191275	2127	Polyribonucleotide nucleotidyltransferase	336	EFAU004_00200.fasta	
	EFAU004_00201		193911	267	transglycosylase	103	EFAU004_00201.fasta	
	EFAU004_00202	kup	194321	1992	K+ uptake transporter	317	EFAU004_00202.fasta	
	EFAU004_00203		196542	1302	hemolysin	265	EFAU004_00203.fasta	
	EFAU004_00204		197973	1371	MATE efflux family protein	219	EFAU004_00204.fasta	
	EFAU004_00205		199525	324	hypothetical protein	59	EFAU004_00205.fasta	
	EFAU004_00206	rplY	200173	606	50S ribosomal protein L25	126	EFAU004_00206.fasta	
	EFAU004_00207		201108	717	16S rRNA pseudouridine synthase A	132	EFAU004_00207.fasta	
	EFAU004_00209	udk	202616	630	uridine kinase	89	EFAU004_00209.fasta	
	EFAU004_00211		205169	603	hypothetical protein	194	EFAU004_00211.fasta	
	EFAU004_00213		206603	1374	hypothetical protein	269	EFAU004_00213.fasta	
	EFAU004_00215		208677	1746	ABC1 family protein	367	EFAU004_00215.fasta	
	EFAU004_00216	ddl	210618	1077	D-alanine--D-alanine ligase	319	EFAU004_00216.fasta	
	EFAU004_00217		211787	1413	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	271	EFAU004_00217.fasta	
	EFAU004_00218		213521	1512	DEAD/DEAH box helicase	298	EFAU004_00218.fasta	
	EFAU004_00219		215162	351	holo-[acyl-carrier-protein] synthase	74	EFAU004_00219.fasta	
	EFAU004_00220		215528	1122	alanine racemase	215	EFAU004_00220.fasta	
	EFAU004_00221	ndoA	216660	363	toxin-antitoxin system, toxin component, MazF family	92	EFAU004_00221.fasta	
	EFAU004_00222	rpsN	217198	270	30S ribosomal protein S14	107	EFAU004_00222.fasta	
	EFAU004_00223		217657	948	zinc-containing alcohol dehydrogenase	236	EFAU004_00223.fasta	
	EFAU004_00225		222213	1824	amino acid permease	344	EFAU004_00225.fasta	
	EFAU004_00231		227266	918	glycine betaine/carnitine/choline ABC transporter	199	EFAU004_00231.fasta	
	EFAU004_00232		228180	642	glycine betaine/carnitine/choline ABC transporter permease	152	EFAU004_00232.fasta	
	EFAU004_00234	queA	230193	1032	S-adenosylmethionine--tRNA ribosyltransferase-isomerase	189	EFAU004_00234.fasta	
	EFAU004_00237	tgt	235566	1146	queuine tRNA-ribosyltransferase	238	EFAU004_00237.fasta	
	EFAU004_00238		236808	381	preprotein translocase subunit YajC	100	EFAU004_00238.fasta	
	EFAU004_00239		237493	2598	aldehyde-alcohol dehydrogenase	397	EFAU004_00239.fasta	
	EFAU004_00256		255949	807	gluconate 5-dehydrogenase	158	EFAU004_00256.fasta	
	EFAU004_00257		257004	1065	isopentenyl-diphosphate delta-isomerase	271	EFAU004_00257.fasta	
	EFAU004_00258		258065	1086	phosphomevalonate kinase	222	EFAU004_00258.fasta	
	EFAU004_00259		259163	978	diphosphomevalonate decarboxylase	247	EFAU004_00259.fasta	
	EFAU004_00261		261399	654	deoxynucleoside kinase	153	EFAU004_00261.fasta	
	EFAU004_00262		262137	906	CorA-like Mg2+ transporter protein	239	EFAU004_00262.fasta	
	EFAU004_00264	infC	263996	525	translation initiation factor IF-3	101	EFAU004_00264.fasta	
	EFAU004_00265	rpmI	264592	201	50S ribosomal protein L35	66	EFAU004_00265.fasta	
	EFAU004_00266	rplT	264845	360	50S ribosomal protein L20	68	EFAU004_00266.fasta	
	EFAU004_00268		266840	2130	hydantoinase/oxoprolinase	452	EFAU004_00268.fasta	
	EFAU004_00270		270041	687	GntR family transcriptional regulator	232	EFAU004_00270.fasta	
	EFAU004_00271		270863	168	hypothetical protein	61	EFAU004_00271.fasta	
	EFAU004_00272		271107	441	thioesterase	157	EFAU004_00272.fasta	
	EFAU004_00273		271551	846	YjeF protein	217	EFAU004_00273.fasta	
	EFAU004_00274	pepV	272545	1419	dipeptidase PepV	306	EFAU004_00274.fasta	
	EFAU004_00361	yybA	360302	453	MarR family transcriptional regulator	121	EFAU004_00361.fasta	
	EFAU004_00362		360767	522	GNAT family acetyltransferase	177	EFAU004_00362.fasta	
	EFAU004_00363		361306	711	B3/4 domain-containing protein	183	EFAU004_00363.fasta	
	EFAU004_00366		363070	1314	xanthine/uracil permease family protein	245	EFAU004_00366.fasta	
	EFAU004_00367	dexB	364711	1623	glucan 1,6-alpha-glucosidase	241	EFAU004_00367.fasta	
	EFAU004_00372		373839	435	MarR family transcriptional regulator	125	EFAU004_00372.fasta	
	EFAU004_00373		374374	1092	oxidoreductase FAD/FMN-binding protein	242	EFAU004_00373.fasta	
	EFAU004_00374		375495	678	DJ-1/PfpI family protein	134	EFAU004_00374.fasta	
	EFAU004_00376		377789	1461	helix-turn-helix domain-containing protein	388	EFAU004_00376.fasta	
	EFAU004_00377	glpK	379385	1497	glycerol kinase	283	EFAU004_00377.fasta	
	EFAU004_00378	glpO	380895	1824	alpha-glycerophosphate oxidase	330	EFAU004_00378.fasta	
	EFAU004_00379		382719	717	glycerol uptake facilitator protein	140	EFAU004_00379.fasta	
	EFAU004_00382		385796	555	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	168	EFAU004_00382.fasta	
	EFAU004_00383		387080	315	DsrE/DsrF-like family protein	87	EFAU004_00383.fasta	
	EFAU004_00384	frmR	387408	261	regulator protein FrmR	62	EFAU004_00384.fasta	
	EFAU004_00385		387838	315	rhodanese-like domain-containing protein	99	EFAU004_00385.fasta	
	EFAU004_00386		388154	1656	coenzyme A disulfide reductase	365	EFAU004_00386.fasta	
	EFAU004_00387		389892	2136	ATP-dependent DNA helicase IV	352	EFAU004_00387.fasta	
	EFAU004_00390		394120	858	LPXTG-motif protein cell wall anchor domain protein	266	EFAU004_00390.fasta	
	EFAU004_00391		395089	321	hypothetical protein	111	EFAU004_00391.fasta	
	EFAU004_00393		395933	1011	dihydroxyacetone kinase subunit DhaK	194	EFAU004_00393.fasta	
	EFAU004_00394		396971	606	dihydroxyacetone kinase, DhaL subunit	149	EFAU004_00394.fasta	
	EFAU004_00396		398671	660	cyclic nucleotide-binding domain-containing protein	174	EFAU004_00396.fasta	
	EFAU004_00397		399407	1611	tetronasin resistance transmembrane protein	364	EFAU004_00397.fasta	
	EFAU004_00399		402165	600	TetR family transcriptional regulator	212	EFAU004_00399.fasta	
	EFAU004_00401	tyrS1	404714	1257	tyrosyl-tRNA synthetase	274	EFAU004_00401.fasta	
	EFAU004_00402		406261	1878	tyrosine decarboxylase	318	EFAU004_00402.fasta	
	EFAU004_00403		408381	1422	amino acid permease	262	EFAU004_00403.fasta	
	EFAU004_00404		409911	1368	Na+/H+ antiporter	347	EFAU004_00404.fasta	
	EFAU004_00405		411559	1020	LacI family transcriptional regulator	189	EFAU004_00405.fasta	
	EFAU004_00406		412600	1008	aldose 1-epimerase	252	EFAU004_00406.fasta	
	EFAU004_00408		414258	2295	glycoside hydrolase, family 65	396	EFAU004_00408.fasta	
	EFAU004_00409		416812	2166	PTS system glucose-specific transporter subunit IIABC	359	EFAU004_00409.fasta	
	EFAU004_00410		419281	834	endonuclease/exonuclease/phosphatase family protein	217	EFAU004_00410.fasta	
	EFAU004_00411		420216	1662	hypothetical protein	355	EFAU004_00411.fasta	
	EFAU004_00413		423599	444	GNAT family acetyltransferase	119	EFAU004_00413.fasta	
	EFAU004_00414	padC	424525	531	Phenolic acid decarboxylase	126	EFAU004_00414.fasta	
	EFAU004_00415		425160	552	PadR family transcriptional regulator	152	EFAU004_00415.fasta	
	EFAU004_00416		425864	474	MerR family transcriptional regulator	94	EFAU004_00416.fasta	
	EFAU004_00417		426475	1473	major facilitator superfamily transporter	287	EFAU004_00417.fasta	
	EFAU004_00418		427944	711	Urea transporter	167	EFAU004_00418.fasta	
	EFAU004_00419		428886	285	hypothetical protein	94	EFAU004_00419.fasta	
	EFAU004_00420		429451	420	hypothetical protein	136	EFAU004_00420.fasta	
	EFAU004_00421		429872	585	aromatic acid decarboxylase	146	EFAU004_00421.fasta	
	EFAU004_00422		430503	1476	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	310	EFAU004_00422.fasta	
	EFAU004_00423		432159	312	hypothetical protein	117	EFAU004_00423.fasta	
	EFAU004_00424		432585	2337	ABC transporter ATP-binding protein/permease	388	EFAU004_00424.fasta	
	EFAU004_00425		435063	669	DNA-binding response regulator	159	EFAU004_00425.fasta	
	EFAU004_00426		435734	1044	sensor histidine kinase	234	EFAU004_00426.fasta	
	EFAU004_00427		437014	882	LysR family transcriptional regulator	230	EFAU004_00427.fasta	
	EFAU004_00428		438054	729	hypothetical protein	190	EFAU004_00428.fasta	
	EFAU004_00430		439248	609	membrane protein	174	EFAU004_00430.fasta	
	EFAU004_00431		439872	831	hypothetical protein	223	EFAU004_00431.fasta	
	EFAU004_00432		440840	489	hypothetical protein	115	EFAU004_00432.fasta	
	EFAU004_00433		441379	873	hypothetical protein	230	EFAU004_00433.fasta	
	EFAU004_00434		442427	363	hypothetical protein	128	EFAU004_00434.fasta	
	EFAU004_00435		442798	753	ABC transporter ATP-binding protein	170	EFAU004_00435.fasta	
	EFAU004_00438		446043	642	aldose 1-epimerase	160	EFAU004_00438.fasta	
	EFAU004_00441		450610	396	D-ribose pyranase	130	EFAU004_00441.fasta	
	EFAU004_00442		451033	918	ribokinase	156	EFAU004_00442.fasta	
	EFAU004_00443		452058	1014	LacI family transcriptional regulator	200	EFAU004_00443.fasta	
	EFAU004_00444		453152	600	isochorismatase family protein	179	EFAU004_00444.fasta	
	EFAU004_00445		453937	702	ABC transporter ATP-binding protein	121	EFAU004_00445.fasta	
	EFAU004_00447		457810	1629	glucan 1,6-alpha-glucosidase	282	EFAU004_00447.fasta	
	EFAU004_00448		459498	1182	putative permease	264	EFAU004_00448.fasta	
	EFAU004_00449		460931	1524	periplasmic solute binding protein	362	EFAU004_00449.fasta	
	EFAU004_00450		462523	729	response regulator receiver domain-containing protein	236	EFAU004_00450.fasta	
	EFAU004_00451		463264	1281	sensor histidine kinase	453	EFAU004_00451.fasta	
	EFAU004_00453		464684	603	accessory regulator agrBfs protein	160	EFAU004_00453.fasta	
	EFAU004_00454		465531	207	hypothetical protein	52	EFAU004_00454.fasta	
	EFAU004_00455		466061	708	deoxynucleoside kinase	161	EFAU004_00455.fasta	
	EFAU004_00456		466849	684	membrane protein	197	EFAU004_00456.fasta	
	EFAU004_00457	pcrA	467750	2187	ATP-dependent DNA helicase PcrA	383	EFAU004_00457.fasta	
	EFAU004_00458		470282	411	transcriptional regulator Spx-family	130	EFAU004_00458.fasta	
	EFAU004_00459		470706	357	Spx/MgsR family transcriptional regulator	93	EFAU004_00459.fasta	
	EFAU004_00462	luxS	477448	459	S-ribosylhomocysteinase	81	EFAU004_00462.fasta	
	EFAU004_00463	metB	478077	1146	cystathionine gamma-synthase	240	EFAU004_00463.fasta	
	EFAU004_00464	cysM	479235	918	cysteine synthase A	206	EFAU004_00464.fasta	
	EFAU004_00465	efp	480580	564	translation elongation factor P	104	EFAU004_00465.fasta	
	EFAU004_00466		481629	1260	diaminopimelate decarboxylase	288	EFAU004_00466.fasta	
	EFAU004_00468		483678	882	dihydrodipicolinate synthase	203	EFAU004_00468.fasta	
	EFAU004_00469		484556	717	dihydrodipicolinate reductase	185	EFAU004_00469.fasta	
	EFAU004_00470		485278	696	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	149	EFAU004_00470.fasta	
	EFAU004_00471		485989	1002	aspartate-semialdehyde dehydrogenase	190	EFAU004_00471.fasta	
	EFAU004_00472		486987	1362	aspartate kinase	267	EFAU004_00472.fasta	
	EFAU004_00474		489434	1170	aromatic amino acid aminotransferase	266	EFAU004_00474.fasta	
	EFAU004_00475		490778	1380	NADH peroxidase	285	EFAU004_00475.fasta	
	EFAU004_00478		493424	669	membrane protein	182	EFAU004_00478.fasta	
	EFAU004_00480		494650	1383	DNA directed DNA polymerase	340	EFAU004_00480.fasta	
	EFAU004_00481		496188	1188	galactokinase	239	EFAU004_00481.fasta	
	EFAU004_00482		497382	1032	aldose 1-epimerase	284	EFAU004_00482.fasta	
	EFAU004_00483		498429	1455	sodium/galactoside symporter	318	EFAU004_00483.fasta	
	EFAU004_00484		500058	906	AraC-like ligand binding domain protein	259	EFAU004_00484.fasta	
	EFAU004_00485		501054	678	NAD(P)H dehydrogenase	148	EFAU004_00485.fasta	
	EFAU004_00486		501728	171	hypothetical protein	37	EFAU004_00486.fasta	
	EFAU004_00487		502012	897	hypothetical protein	227	EFAU004_00487.fasta	
	EFAU004_00488	ybxG	502963	1371	amino acid permease	281	EFAU004_00488.fasta	
	EFAU004_00489		504571	747	ABC transporter ATP-binding protein	237	EFAU004_00489.fasta	
	EFAU004_00490		505314	840	metal ion ABC transporter permease	182	EFAU004_00490.fasta	
	EFAU004_00491		506154	951	periplasmic solute binding protein	246	EFAU004_00491.fasta	
	EFAU004_00492		507245	753	hypothetical protein	180	EFAU004_00492.fasta	
	EFAU004_00493		508016	1152	iron-sulfur cluster-binding protein	258	EFAU004_00493.fasta	
	EFAU004_00494		509550	609	LysM domain-containing protein	103	EFAU004_00494.fasta	
	EFAU004_00495		510326	1638	phosphoenolpyruvate carboxykinase	334	EFAU004_00495.fasta	
	EFAU004_00496		512035	1113	FAD dependent oxidoreductase	263	EFAU004_00496.fasta	
	EFAU004_00497		513222	1374	major facilitator superfamily transporter	403	EFAU004_00497.fasta	
	EFAU004_00498		514816	618	hypothetical protein	214	EFAU004_00498.fasta	
	EFAU004_00499		515531	456	arginine repressor protein	108	EFAU004_00499.fasta	
	EFAU004_00500		516004	1503	phosphoglucomutase/phosphomannomutase family protein	336	EFAU004_00500.fasta	
	EFAU004_00501		517601	207	hypothetical protein	94	EFAU004_00501.fasta	
	EFAU004_00502		517893	402	peroxiredoxin, Ohr family protein	116	EFAU004_00502.fasta	
	EFAU004_00503		518449	1332	pyridine nucleotide-disulfide oxidoreductase	256	EFAU004_00503.fasta	
	EFAU004_00504		519802	627	isochorismatase hydrolase	179	EFAU004_00504.fasta	
	EFAU004_00505		520611	582	TetR family transcriptional regulator	134	EFAU004_00505.fasta	
	EFAU004_00506		521924	348	hypothetical protein	84	EFAU004_00506.fasta	
	EFAU004_00524		540335	675	DNA-binding response regulator	165	EFAU004_00524.fasta	
	EFAU004_00525		541027	1026	sensor histidine kinase	300	EFAU004_00525.fasta	
	EFAU004_00526		542141	867	glucose uptake protein	180	EFAU004_00526.fasta	
	EFAU004_00527		543044	1377	amino acid permease	349	EFAU004_00527.fasta	
	EFAU004_00528		544521	1197	tellurite resistance protein	229	EFAU004_00528.fasta	
	EFAU004_00529		545841	663	5-bromo-4-chloroindolyl phosphate hydrolysis protein	173	EFAU004_00529.fasta	
	EFAU004_00530		546731	564	nudix hydrolase, YffH family	151	EFAU004_00530.fasta	
	EFAU004_00531		547307	285	hypothetical protein	108	EFAU004_00531.fasta	
	EFAU004_00532		547610	693	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	118	EFAU004_00532.fasta	
	EFAU004_00533		548314	546	isochorismatase family protein	150	EFAU004_00533.fasta	
	EFAU004_00535		552949	1908	Peptidase family M13	421	EFAU004_00535.fasta	
	EFAU004_00537	prs2	555941	975	ribose-phosphate pyrophosphokinase	181	EFAU004_00537.fasta	
	EFAU004_00538		557104	1137	Putative cysteine desulfurase	237	EFAU004_00538.fasta	
	EFAU004_00539		558377	345	hypothetical protein	76	EFAU004_00539.fasta	
	EFAU004_00542	mnmA	561419	1122	tRNA-specific 2-thiouridylase MnmA	242	EFAU004_00542.fasta	
	EFAU004_00543		562786	1422	amino acid permease	314	EFAU004_00543.fasta	
	EFAU004_00544		564221	1119	aspartate aminotransferase	279	EFAU004_00544.fasta	
	EFAU004_00546		566841	561	TetR family transcriptional regulator	171	EFAU004_00546.fasta	
	EFAU004_00547		567530	378	hypothetical protein	92	EFAU004_00547.fasta	
	EFAU004_00548		567942	1971	DNA topoisomerase III	373	EFAU004_00548.fasta	
	EFAU004_00549		570123	948	glycosyl transferase family protein	234	EFAU004_00549.fasta	
	EFAU004_00550		571316	465	methylated-DNA--protein-cysteine methyltransferase	121	EFAU004_00550.fasta	
	EFAU004_00551		571842	1044	membrane protein	252	EFAU004_00551.fasta	
	EFAU004_00552		573262	966	C4-dicarboxylate transporter/malic acid transport protein	219	EFAU004_00552.fasta	
	EFAU004_00553		574461	846	LysR family transcriptional regulator	180	EFAU004_00553.fasta	
