Gene	Total_alleles	Valid_alleles	Number_representatives
GCF-000807395-protein1276	13	13	1
GCF-000807395-protein1292	14	14	1
GCF-000807395-protein1306	11	11	1
GCF-000807395-protein1332	13	13	1
GCF-000807395-protein1344	15	15	1
GCF-000807395-protein1349	14	14	1
GCF-000807395-protein1366	11	11	1
GCF-000807395-protein1374	14	14	1
GCF-000807395-protein1385	13	13	1
GCF-000807395-protein1395	15	15	1
GCF-000807395-protein1411	13	13	1
GCF-000807395-protein1435	7	7	1
GCF-000807395-protein1460	13	13	1
GCF-000807395-protein1465	14	14	1
GCF-000807395-protein1478	16	16	1
GCF-000807395-protein1492	12	12	1
GCF-000807395-protein1500	3	3	1
GCF-000807395-protein1613	23	23	1
GCF-000807395-protein174	15	15	1
GCF-000807395-protein1811	10	10	1
GCF-000807395-protein1960	8	8	1
GCF-000807395-protein203	10	10	1
GCF-000807395-protein2146	16	16	1
GCF-000807395-protein228	15	15	1
GCF-000807395-protein2312	14	14	1
GCF-000807395-protein235	17	17	1
GCF-000807395-protein2480	11	11	1
GCF-000807395-protein2490	16	16	1
GCF-000807395-protein2522	15	15	1
GCF-000807395-protein2548	14	14	1
GCF-000807395-protein2553	12	12	1
GCF-000807395-protein256	13	13	1
GCF-000807395-protein2589	13	13	1
GCF-000807395-protein26	17	17	1
GCF-000807395-protein2612	14	14	1
GCF-000807395-protein2648	15	15	1
GCF-000807395-protein2662	14	14	1
GCF-000807395-protein2681	15	15	1
GCF-000807395-protein2690	12	12	1
GCF-000807395-protein2698	14	14	1
GCF-000807395-protein2700	13	13	1
GCF-000807395-protein2712	16	16	1
GCF-000807395-protein2732	16	16	1
GCF-000807395-protein2740	15	15	1
GCF-000807395-protein2747	15	15	1
GCF-000807395-protein2768	13	13	1
GCF-000807395-protein2770	14	14	1
GCF-000807395-protein2834	15	15	1
GCF-000807395-protein2843	16	16	1
GCF-000807395-protein2862	14	14	1
GCF-000807395-protein2897	13	13	1
GCF-000807395-protein2923	15	15	1
GCF-000807395-protein2941	12	12	1
GCF-000807395-protein2948	14	14	1
GCF-000807395-protein2955	12	12	1
GCF-000807395-protein2972	15	15	1
GCF-000807395-protein2981	14	14	1
GCF-000807395-protein2994	12	12	1
GCF-000807395-protein3	15	15	1
GCF-000807395-protein3016	8	8	1
GCF-000807395-protein3029	13	13	1
GCF-000807395-protein3055	11	11	1
GCF-000807395-protein3085	15	15	1
GCF-000807395-protein3104	15	15	1
GCF-000807395-protein3119	15	15	1
GCF-000807395-protein3129	10	10	1
GCF-000807395-protein3140	16	16	1
GCF-000807395-protein3208	17	17	1
GCF-000807395-protein3226	16	16	1
GCF-000807395-protein3235	15	15	1
GCF-000807395-protein327	9	9	1
GCF-000807395-protein3286	17	17	1
GCF-000807395-protein3296	14	14	1
GCF-000807395-protein3317	12	12	1
GCF-000807395-protein3383	11	11	1
GCF-000807395-protein3387	16	16	1
GCF-000807395-protein3397	15	15	1
GCF-000807395-protein3414	15	15	1
GCF-000807395-protein3428	8	8	1
GCF-000807395-protein3447	15	15	1
GCF-000807395-protein3457	14	14	1
GCF-000807395-protein3472	14	14	1
GCF-000807395-protein3500	15	15	1
GCF-000807395-protein3511	15	15	1
GCF-000807395-protein3522	12	12	1
GCF-000807395-protein3541	11	11	1
GCF-000807395-protein3577	14	14	1
GCF-000807395-protein3586	17	17	1
GCF-000807395-protein3592	15	15	1
GCF-000807395-protein3601	16	16	1
GCF-000807395-protein3610	14	14	1
GCF-000807395-protein3622	11	11	1
GCF-000807395-protein3626	7	7	1
GCF-000807395-protein3641	15	15	1
GCF-000807395-protein3650	15	15	1
GCF-000807395-protein3654	17	17	1
GCF-000807395-protein3663	15	15	1
GCF-000807395-protein3686	15	15	1
GCF-000807395-protein3700	16	16	1
GCF-000807395-protein3709	14	14	1
GCF-000807395-protein3718	14	14	1
GCF-000807395-protein3727	15	15	1
GCF-000807395-protein3739	15	15	1
GCF-000807395-protein3832	15	15	1
GCF-000807395-protein3845	16	16	1
GCF-000807395-protein3861	15	15	1
GCF-000807395-protein3885	12	12	1
GCF-000807395-protein3892	14	14	1
GCF-000807395-protein3915	10	10	1
GCF-000807395-protein3927	16	16	1
GCF-000807395-protein3942	16	16	1
GCF-000807395-protein3970	13	13	1
GCF-000807395-protein3996	11	11	1
GCF-000807395-protein40	8	8	1
GCF-000807395-protein4009	14	14	1
GCF-000807395-protein4022	16	16	1
GCF-000807395-protein4036	15	15	1
GCF-000807395-protein4066	14	14	1
GCF-000807395-protein4095	14	14	1
GCF-000807395-protein4122	11	11	1
GCF-000807395-protein4141	15	15	1
GCF-000807395-protein4160	12	12	1
GCF-000807395-protein4163	15	15	1
GCF-000807395-protein4179	9	9	1
GCF-000807395-protein4213	12	12	1
GCF-000807395-protein423	9	9	1
GCF-000807395-protein4235	13	13	1
GCF-000807395-protein4251	17	17	1
GCF-000807395-protein4261	17	17	1
GCF-000807395-protein4299	15	15	1
GCF-000807395-protein4329	16	16	1
GCF-000807395-protein4341	15	15	1
GCF-000807395-protein4364	18	18	1
GCF-000807395-protein4379	11	11	1
GCF-000807395-protein4397	17	17	1
GCF-000807395-protein4411	14	14	1
GCF-000807395-protein4432	18	18	1
GCF-000807395-protein4448	15	15	1
GCF-000807395-protein4452	14	14	1
GCF-000807395-protein4482	16	16	1
GCF-000807395-protein4489	15	15	1
GCF-000807395-protein45	15	15	1
GCF-000807395-protein4512	16	16	1
GCF-000807395-protein4518	16	16	1
GCF-000807395-protein4524	15	15	1
GCF-000807395-protein4547	15	15	1
GCF-000807395-protein4583	8	8	1
GCF-000807395-protein4596	10	10	1
GCF-000807395-protein4599	16	16	1
GCF-000807395-protein461	17	17	1
GCF-000807395-protein4630	14	14	1
GCF-000807395-protein4648	15	15	1
GCF-000807395-protein4660	17	17	1
GCF-000807395-protein4680	15	15	1
GCF-000807395-protein47	15	15	1
GCF-000807395-protein4707	15	15	1
GCF-000807395-protein475	14	14	1
GCF-000807395-protein4777	15	15	1
GCF-000807395-protein4792	16	16	1
GCF-000807395-protein4845	16	16	1
GCF-000807395-protein486	15	15	1
GCF-000807395-protein4889	16	16	1
GCF-000807395-protein4904	13	13	1
GCF-000807395-protein4908	13	13	1
GCF-000807395-protein4919	11	11	1
GCF-000807395-protein4943	16	16	1
GCF-000807395-protein4982	16	16	1
GCF-000807395-protein5002	7	7	1
GCF-000807395-protein5015	14	14	1
GCF-000807395-protein5031	16	16	1
GCF-000807395-protein525	13	13	1
GCF-000807395-protein558	9	9	1
GCF-000807395-protein588	13	13	1
GCF-000807395-protein61	15	15	1
GCF-000807395-protein618	10	10	1
GCF-000807395-protein624	7	7	1
GCF-000807395-protein628	15	15	1
GCF-000807395-protein662	14	14	1
GCF-000807395-protein680	13	13	1
GCF-000807395-protein688	8	8	1
GCF-000807395-protein707	8	8	1
GCF-000807395-protein709	13	13	1
GCF-000807395-protein776	17	17	1
GCF-000807395-protein789	12	12	1
GCF-000807395-protein823	13	13	1
GCF-000968155-protein1	11	11	1
GCF-000807395-protein839	16	16	1
GCF-000807395-protein857	15	15	1
GCF-000807395-protein90	16	16	1
GCF-000807395-protein924	15	15	1
GCF-000807395-protein943	17	17	1
GCF-000807395-protein949	16	16	1
GCF-000807395-protein958	16	16	1
GCF-000807395-protein980	15	15	1
GCF-000814305-protein10231	16	16	1
GCF-000814305-protein6638	14	14	1
GCF-000814305-protein6942	21	21	1
GCF-000814305-protein8411	18	18	1
GCF-000814305-protein8934	16	16	1
GCF-000814305-protein9391	18	18	1
GCF-000968155-protein1133	12	8	1
GCF-000968155-protein2382	18	18	1
GCF-000968155-protein2816	15	15	1
GCF-000968155-protein3021	17	17	1
GCF-000968155-protein3273	16	16	1
GCF-000968155-protein3558	12	12	1
GCF-000968155-protein3770	21	21	1
GCF-000968155-protein446	10	10	1
GCF-000968155-protein4768	17	17	1
GCF-000968155-protein726	9	9	1
GCF-000968155-protein868	15	15	2
GCF-001022035-protein5424	12	12	1
GCF-001022035-protein5740	17	17	1
GCF-001022035-protein6006	16	16	1
GCF-001022035-protein6018	16	16	1
GCF-001022035-protein6033	14	14	1
GCF-001022035-protein6113	12	12	1
GCF-001022035-protein6126	17	17	1
GCF-001022035-protein6153	15	15	1
GCF-001022035-protein6159	15	15	1
GCF-001022035-protein6170	16	16	1
GCF-001022035-protein6176	16	16	1
GCF-001022035-protein6182	18	18	1
GCF-001022035-protein6202	15	15	1
GCF-001022035-protein6229	16	16	1
GCF-001022035-protein6232	17	17	1
GCF-001022035-protein6243	17	17	1
GCF-001022035-protein6250	9	9	1
GCF-001022035-protein6277	13	13	1
GCF-001022035-protein6301	18	18	1
GCF-001022035-protein6321	17	17	1
GCF-001022035-protein6327	18	18	1
GCF-001022035-protein6356	17	17	1
GCF-001022035-protein6379	17	17	1
GCF-001022035-protein6389	8	8	1
GCF-001022035-protein6401	13	13	1
GCF-001022035-protein6413	17	17	1
GCF-001022035-protein6429	15	15	1
GCF-001022035-protein6453	14	14	1
GCF-001022035-protein6461	17	17	1
GCF-001022035-protein6471	14	14	1
GCF-001022035-protein6478	16	16	1
GCF-001022035-protein6486	17	17	1
GCF-001022035-protein6489	16	16	1
GCF-001022035-protein6496	17	17	1
GCF-001022035-protein6500	17	17	1
GCF-001022035-protein6505	18	18	1
GCF-001022035-protein6529	16	16	1
GCF-001022035-protein6548	15	15	1
GCF-001022035-protein6588	15	15	1
GCF-001022035-protein6661	18	18	1
GCF-001022035-protein6674	15	15	1
GCF-001022035-protein6695	16	16	1
GCF-001022035-protein6717	15	15	1
GCF-001022035-protein6734	20	20	1
GCF-001022035-protein6780	15	15	1
GCF-001022035-protein6793	18	18	1
GCF-001022035-protein6807	8	8	1
GCF-001022035-protein6831	21	21	1
GCF-001022035-protein6837	14	14	1
GCF-001022035-protein6851	20	20	1
GCF-001022035-protein6864	18	18	1
GCF-001022035-protein6891	24	24	1
GCF-001022035-protein6920	15	15	1
GCF-001022035-protein6923	22	22	1
GCF-001022035-protein6930	20	20	1
GCF-001022035-protein6948	19	19	1
GCF-001022035-protein6963	16	16	1
GCF-001022035-protein6979	19	19	1
GCF-001022035-protein7001	17	17	1
GCF-001022035-protein7833	13	13	1
GCF-001022035-protein8451	17	17	2
GCF-001022035-protein9177	16	16	1
GCF-001022035-protein9487	16	16	1
GCF-001022035-protein9953	15	15	1
GCF-001022175-protein1007	13	13	1
GCF-001022175-protein1022	6	6	1
GCF-001022175-protein1032	11	11	1
GCF-001022175-protein1066	10	10	1
GCF-001022175-protein1080	14	14	1
GCF-001022175-protein11	9	9	1
GCF-001022175-protein1109	7	7	1
GCF-001022175-protein1115	14	14	1
GCF-001022175-protein1122	7	7	1
GCF-001022175-protein113	6	6	1
GCF-001022175-protein1145	6	6	1
GCF-001022175-protein1150	4	4	1
GCF-001022175-protein1153	13	13	1
GCF-001022175-protein1176	13	13	1
GCF-001022175-protein1193	14	14	1
GCF-001022175-protein120	13	13	1
GCF-001022175-protein1208	7	7	1
GCF-001022175-protein1216	8	8	1
GCF-001022175-protein1221	5	5	1
GCF-001022175-protein1233	13	13	1
GCF-001022175-protein1241	12	12	1
GCF-001022175-protein125	7	7	1
GCF-001022175-protein1257	14	14	1
GCF-001022175-protein1278	5	5	1
GCF-001022175-protein1280	14	14	1
GCF-001022175-protein1287	7	7	1
GCF-001022175-protein1292	7	7	1
GCF-001022175-protein1312	6	6	1
GCF-001022175-protein1315	12	12	1
GCF-001022175-protein1327	15	15	1
GCF-001022175-protein1345	15	15	1
GCF-001022175-protein1353	13	13	1
GCF-001022175-protein1368	5	5	1
GCF-001022175-protein1375	8	8	1
GCF-001022175-protein141	13	13	1
GCF-001022175-protein1422	6	6	1
GCF-001022175-protein1427	15	15	1
GCF-001022175-protein1444	8	8	1
GCF-001022175-protein149	13	13	1
GCF-001022175-protein1500	14	14	1
GCF-001022175-protein1524	6	6	1
GCF-001022175-protein1531	11	11	1
GCF-001022175-protein154	6	6	1
GCF-001022175-protein1545	16	16	1
GCF-001022175-protein1559	8	8	1
GCF-001022175-protein1564	14	14	1
GCF-001022175-protein1574	14	14	1
GCF-001022175-protein1591	14	14	1
GCF-001022175-protein1613	10	10	1
GCF-001022175-protein1634	8	8	1
GCF-001022175-protein1644	11	11	1
GCF-001022175-protein1660	15	15	1
GCF-001022175-protein1681	15	15	1
GCF-001022175-protein169	10	10	1
GCF-001022175-protein1693	16	16	1
GCF-001022175-protein1703	15	15	1
GCF-001022175-protein1731	15	15	1
GCF-001022175-protein1764	18	18	1
GCF-001022175-protein1776	6	6	1
GCF-001022175-protein1783	6	6	1
GCF-001022175-protein1796	1	1	1
GCF-001022175-protein1797	2	2	1
GCF-001022175-protein1799	4	4	1
GCF-001022175-protein1800	5	5	1
GCF-001022175-protein1803	14	14	1
GCF-001022175-protein1816	14	14	1
GCF-001022175-protein1826	13	13	1
GCF-001022175-protein184	1	1	1
GCF-001022175-protein1841	14	14	1
GCF-001022175-protein185	6	6	1
GCF-001022175-protein1862	7	7	1
GCF-001022175-protein1863	13	13	1
GCF-001022175-protein187	9	9	1
GCF-001022175-protein1879	7	7	1
GCF-001022175-protein1882	2	2	1
GCF-001022175-protein1884	15	15	1
GCF-001022175-protein190	3	3	1
GCF-001022175-protein1901	9	9	1
GCF-001022175-protein1914	15	15	1
GCF-001022175-protein1921	15	15	1
GCF-001022175-protein1947	5	5	1
GCF-001022175-protein1955	11	11	1
GCF-001022175-protein1958	18	18	1
GCF-001022175-protein1977	5	5	1
GCF-001022175-protein1979	17	17	1
GCF-001022175-protein1986	3	3	1
GCF-001022175-protein1989	3	3	1
GCF-001022175-protein1992	8	8	1
GCF-001022175-protein1999	15	15	1
GCF-001022175-protein2009	13	13	1
GCF-001022175-protein2036	4	4	1
GCF-001022175-protein204	9	9	1
GCF-001022175-protein2056	10	10	1
GCF-001022175-protein2073	7	7	1
GCF-001022175-protein2118	13	13	1
GCF-001022175-protein213	4	4	1
GCF-001022175-protein2130	13	13	1
GCF-001022175-protein2148	10	10	1
GCF-001022175-protein2170	14	14	1
GCF-001022175-protein2179	6	6	1
GCF-001022175-protein2185	16	16	1
GCF-001022175-protein220	13	13	1
GCF-001022175-protein2217	8	8	1
GCF-001022175-protein2223	12	12	1
GCF-001022175-protein2231	16	16	1
GCF-001022175-protein2239	14	14	1
GCF-001022175-protein2258	14	14	1
GCF-001022175-protein2263	16	16	1
GCF-001022175-protein2290	12	12	1
GCF-001022175-protein230	12	12	1
GCF-001022175-protein2332	16	16	1
GCF-001022175-protein2347	9	9	1
GCF-001022175-protein2356	7	7	1
GCF-001022175-protein2359	2	2	1
GCF-001022175-protein2362	9	9	1
GCF-001022175-protein2378	8	8	1
GCF-001022175-protein2388	8	8	1
GCF-001022175-protein2391	11	11	1
GCF-001022175-protein2407	8	8	1
GCF-001022175-protein2418	2	2	1
GCF-001022175-protein2421	4	4	1
GCF-001022175-protein2428	2	2	1
GCF-001022175-protein2431	2	2	1
GCF-001022175-protein2434	3	3	1
GCF-001022175-protein2439	2	2	1
GCF-001022175-protein2442	2	2	1
GCF-001022175-protein2443	6	6	1
GCF-001022175-protein2456	8	8	1
GCF-001022175-protein2468	3	3	1
GCF-001022175-protein2474	8	8	1
GCF-001022175-protein2480	9	9	1
GCF-001022175-protein2485	4	4	1
GCF-001022175-protein2487	10	10	1
GCF-001022175-protein2502	10	10	1
GCF-001022175-protein2513	10	10	1
GCF-001022175-protein2519	12	12	1
GCF-001022175-protein2528	2	2	1
GCF-001022175-protein2530	14	14	1
GCF-001022175-protein2537	17	17	1
GCF-001022175-protein255	7	7	1
GCF-001022175-protein2554	13	13	1
GCF-001022175-protein2558	7	7	1
GCF-001022175-protein2566	6	6	1
GCF-001022175-protein258	11	11	1
GCF-001022175-protein2586	12	12	1
GCF-001022175-protein2595	6	6	1
GCF-001022175-protein2603	16	16	1
GCF-001022175-protein2619	12	12	1
GCF-001022175-protein2629	14	14	1
GCF-001022175-protein2689	14	14	1
GCF-001022175-protein2704	15	15	1
GCF-001022175-protein2725	10	10	1
GCF-001022175-protein274	8	8	1
GCF-001022175-protein2744	5	5	1
GCF-001022175-protein276	9	9	1
GCF-001022175-protein2764	14	14	1
GCF-001022175-protein2781	13	13	1
GCF-001022175-protein2801	10	10	1
GCF-001022175-protein2810	4	4	1
GCF-001022175-protein2811	4	4	1
GCF-001022175-protein2816	9	9	1
GCF-001022175-protein2828	1	1	1
GCF-001022175-protein2829	7	7	1
GCF-001022175-protein2834	14	14	1
GCF-001022175-protein286	7	7	1
GCF-001022175-protein2873	3	3	1
GCF-001022175-protein2880	10	10	1
GCF-001022175-protein2884	8	8	1
GCF-001022175-protein2897	11	11	1
GCF-001022175-protein2908	13	13	1
GCF-001022175-protein2917	15	15	1
GCF-001022175-protein293	10	10	1
GCF-001022175-protein2959	10	10	1
GCF-001022175-protein2969	14	14	1
GCF-001022175-protein2991	8	8	1
GCF-001022175-protein3001	13	13	1
GCF-001022175-protein3011	9	9	1
GCF-001022175-protein3017	8	8	1
GCF-001022175-protein3027	10	10	1
GCF-001022175-protein3048	13	13	1
GCF-001022175-protein306	14	14	1
GCF-001022175-protein3093	15	15	1
GCF-001022175-protein3106	15	15	1
GCF-001022175-protein3133	5	5	1
GCF-001022175-protein3134	14	14	1
GCF-001022175-protein3147	5	5	1
GCF-001022175-protein3155	6	6	1
GCF-001022175-protein3161	9	9	1
GCF-001022175-protein3190	15	15	1
GCF-001022175-protein3218	3	3	1
GCF-001022175-protein3219	3	3	1
GCF-001022175-protein3221	4	4	1
GCF-001022175-protein3230	10	10	1
GCF-001022175-protein3243	8	8	1
GCF-001022175-protein3252	14	14	1
GCF-001022175-protein328	7	7	1
GCF-001022175-protein3282	12	12	1
GCF-001022175-protein33	8	8	1
GCF-001022175-protein3303	15	15	1
GCF-001022175-protein3368	12	12	1
GCF-001022175-protein3372	12	12	1
GCF-001022175-protein3379	8	8	1
GCF-001022175-protein3383	14	14	1
GCF-001022175-protein340	8	8	1
GCF-001022175-protein341	8	8	1
GCF-001022175-protein3415	8	8	1
GCF-001022175-protein3418	13	13	1
GCF-001022175-protein3428	5	5	1
GCF-001022175-protein3439	7	7	1
GCF-001022175-protein3440	6	6	1
GCF-001022175-protein3450	15	15	1
GCF-001022175-protein346	7	7	1
GCF-001022175-protein3466	13	13	1
GCF-001022175-protein3483	12	12	1
GCF-001022175-protein3492	6	6	1
GCF-001022175-protein35	12	12	1
GCF-001022175-protein3507	5	5	1
GCF-001022175-protein3510	14	14	1
GCF-001022175-protein3515	4	4	1
GCF-001022175-protein3529	7	7	1
GCF-001022175-protein3532	15	15	1
GCF-001022175-protein3546	10	10	1
GCF-001022175-protein3557	14	14	1
GCF-001022175-protein3569	9	9	1
GCF-001022175-protein3582	18	18	1
GCF-001022175-protein3594	18	18	1
GCF-001022175-protein3611	17	17	1
GCF-001022175-protein3625	13	13	1
GCF-001022175-protein364	3	3	1
GCF-001022175-protein3649	20	20	1
GCF-001022175-protein3705	11	11	1
GCF-001022175-protein3752	9	9	1
GCF-001022175-protein3760	15	15	1
GCF-001022175-protein3772	11	11	1
GCF-001022175-protein3793	9	9	1
GCF-001022175-protein3797	5	5	1
GCF-001022175-protein3799	12	12	1
GCF-001022175-protein3807	18	18	1
GCF-001022175-protein3828	13	13	1
GCF-001022175-protein3845	17	17	1
GCF-001022175-protein3862	9	9	1
GCF-001022175-protein3872	15	15	1
GCF-001022175-protein394	12	12	1
GCF-001022175-protein3984	14	14	1
GCF-001022175-protein3998	13	13	1
GCF-001022175-protein4003	7	7	1
GCF-001022175-protein4017	15	15	1
GCF-001022175-protein4028	15	15	1
GCF-001022175-protein4031	14	14	1
GCF-001022175-protein4038	4	4	1
GCF-001022175-protein4045	14	14	1
GCF-001022175-protein4067	14	14	1
GCF-001022175-protein4071	3	3	1
GCF-001022175-protein4095	17	17	1
GCF-001022175-protein414	10	10	1
GCF-001022175-protein4146	18	18	1
GCF-001022175-protein4195	11	11	1
GCF-001022175-protein4222	11	11	1
GCF-001022175-protein4227	10	10	1
GCF-001022175-protein4239	5	5	1
GCF-001022175-protein4248	15	15	1
GCF-001022175-protein4257	8	8	2
GCF-001022175-protein4270	14	14	1
GCF-001022175-protein4287	8	8	1
GCF-001022175-protein4308	11	11	1
GCF-001022175-protein4369	15	15	1
GCF-001022175-protein439	5	5	1
GCF-001022175-protein440	10	10	1
GCF-001022175-protein45	13	13	1
GCF-001022175-protein4522	5	5	1
GCF-001022175-protein4532	12	12	1
GCF-001022175-protein4553	5	5	1
GCF-001022175-protein4567	12	12	1
GCF-001022175-protein4597	13	13	1
GCF-001022175-protein4623	14	14	1
GCF-001022175-protein464	14	14	1
GCF-001022175-protein4650	14	14	1
GCF-001022175-protein467	8	8	1
GCF-001022175-protein4679	12	12	1
GCF-001022175-protein4683	11	11	1
GCF-001022175-protein469	12	12	1
GCF-001022175-protein4714	15	15	1
GCF-001022175-protein4727	10	10	1
GCF-001022175-protein4756	9	9	1
GCF-001022175-protein477	13	13	1
GCF-001022175-protein478	12	12	1
GCF-001022175-protein484	7	7	1
GCF-001022175-protein4876	9	9	1
GCF-001022175-protein4886	9	9	1
GCF-001022175-protein4887	4	4	1
GCF-001022175-protein4898	12	12	1
GCF-001022175-protein4913	10	10	1
GCF-001022175-protein503	13	13	1
GCF-001022175-protein521	5	5	1
GCF-001022175-protein523	10	10	1
GCF-001022175-protein529	13	13	1
GCF-001022175-protein537	7	7	1
GCF-001022175-protein560	3	3	1
GCF-001022175-protein562	5	5	1
GCF-001022175-protein572	12	12	1
GCF-001022175-protein585	7	7	1
GCF-001022175-protein588	11	11	1
GCF-001022175-protein597	2	2	1
GCF-001022175-protein600	8	8	1
GCF-001022175-protein603	9	9	1
GCF-001022175-protein639	16	16	1
GCF-001022175-protein67	15	15	1
GCF-001022175-protein680	15	15	1
GCF-001022175-protein732	10	10	1
GCF-001022175-protein733	6	6	1
GCF-001022175-protein742	16	16	1
GCF-001022175-protein760	2	2	1
GCF-001022175-protein8	11	11	1
GCF-001022175-protein857	12	12	1
GCF-001022175-protein864	17	17	1
GCF-001022175-protein873	10	10	1
GCF-001022175-protein893	12	12	1
GCF-001022175-protein912	8	8	1
GCF-001022175-protein916	11	11	1
GCF-001022175-protein923	6	6	1
GCF-001022175-protein928	4	4	1
GCF-001022175-protein930	7	7	1
GCF-001022175-protein937	4	4	1
GCF-001022175-protein94	16	16	1
GCF-001022175-protein96	3	3	1
GCF-001022175-protein963	15	15	1
GCF-001022175-protein980	14	14	1
GCF-001022175-protein991	11	11	1
GCF-001022175-protein997	6	6	1
GCF-001022235-protein10070	15	15	1
GCF-001022235-protein10090	21	21	1
GCF-001022235-protein10203	11	11	1
GCF-001022235-protein10245	12	12	1
GCF-001022235-protein10319	11	11	1
GCF-001022235-protein10393	16	16	1
GCF-001022235-protein10540	11	11	1
GCF-001022235-protein5552	11	11	1
GCF-001022235-protein5660	13	13	1
GCF-001022235-protein5755	14	14	1
GCF-001022235-protein5950	14	14	1
GCF-001022235-protein6257	14	14	1
GCF-001022235-protein6553	6	6	1
GCF-001022235-protein6561	15	15	1
GCF-001022235-protein6593	9	9	1
GCF-001022235-protein6664	14	14	1
GCF-001022235-protein6696	9	9	1
GCF-001022235-protein6731	16	16	1
GCF-001022235-protein6790	13	13	1
GCF-001022235-protein6807	17	17	1
GCF-001022235-protein6884	7	7	1
GCF-001022235-protein6897	15	15	1
GCF-001022235-protein6909	10	10	1
GCF-001022235-protein6963	14	14	1
GCF-001022235-protein7059	17	17	1
GCF-001022235-protein7139	10	10	1
GCF-001022235-protein7261	9	9	1
GCF-001022235-protein7394	16	16	1
GCF-001022235-protein7489	10	10	1
GCF-001022235-protein7504	14	14	1
GCF-001022235-protein7642	17	17	1
GCF-001022235-protein7798	16	16	1
GCF-001022235-protein8223	18	18	1
GCF-001022235-protein8329	11	11	1
GCF-001022235-protein8388	11	11	1
GCF-001022235-protein8465	13	13	1
GCF-001022235-protein8621	11	11	1
GCF-001022235-protein8892	15	15	1
GCF-001022235-protein8937	5	5	1
GCF-001022235-protein8956	10	10	1
GCF-001022235-protein9098	17	17	1
GCF-001022235-protein9292	10	10	1
GCF-001022235-protein9414	15	15	1
GCF-001022235-protein9647	16	16	1
GCF-001022235-protein9728	8	8	1
GCF-001022235-protein9750	18	18	1
GCF-001022235-protein9809	19	19	1
GCF-001022235-protein9872	11	11	1
GCF-001307175-protein1327	15	15	1
GCF-001307175-protein1747	5	5	1
GCF-001307175-protein1956	8	8	1
GCF-001307175-protein24	20	20	1
GCF-001307175-protein317	16	16	1
GCF-001307175-protein3351	14	14	1
GCF-001307175-protein3597	9	9	1
GCF-001307175-protein3629	17	17	1
GCF-001307175-protein4183	13	13	1
GCF-001307175-protein458	13	13	1
GCF-001307175-protein4851	17	17	1
GCF-001307175-protein551	13	13	1
GCF-001307175-protein639	14	14	1
GCF-001307175-protein853	13	13	1
GCF-001455995-protein10652	16	16	1
GCF-001455995-protein7519	13	13	1
GCF-001455995-protein7829	14	14	1
