gene	PC	NDC
GCF-002208645-protein10789.fasta	5	35
GCF-003641125-protein8754.fasta	5	33
GCF-008195485-protein4895.fasta	5	34
GCF-001632245-protein66.fasta	5	32
GCF-004102665-protein10959.fasta	5	33
GCF-003571505-protein2740.fasta	5	26
GCF-003813025-protein4352.fasta	5	35
GCF-001516205-protein4296.fasta	5	31
GCF-901472565-protein2594.fasta	5	24
GCF-001750705-protein10659.fasta	5	26
GCF-003369775-protein3051.fasta	5	31
GCF-003813025-protein1888.fasta	6	34
GCF-009720425-protein12485.fasta	6	30
GCF-003332705-protein11432.fasta	6	34
GCF-003950255-protein4360.fasta	6	22
GCF-901472565-protein4619.fasta	6	33
GCF-901472565-protein4808.fasta	6	32
GCF-900618245-protein2762.fasta	6	34
GCF-001516205-protein4302.fasta	6	33
GCF-901472565-protein4729.fasta	6	31
GCF-004291075-protein8575.fasta	7	27
GCF-003073895-protein5806.fasta	7	31
GCF-007559085-protein7501.fasta	7	33
GCF-003073795-protein6652.fasta	7	30
GCF-007559085-protein6905.fasta	7	32
GCF-003193645-protein7664.fasta	7	32
GCF-009662315-protein7854.fasta	7	32
GCF-003798145-protein11801.fasta	8	32
GCF-003812905-protein3475.fasta	8	32
GCF-003812885-protein7591.fasta	8	31
GCF-003813025-protein1904.fasta	8	32
GCF-001516205-protein4266.fasta	8	31
GCF-002237405-protein784.fasta	8	32
GCF-003204335-protein11000.fasta	8	28
GCF-004355125-protein1115.fasta	8	27
GCF-002753655-protein9511.fasta	8	32
GCF-006364795-protein4338.fasta	8	27
GCF-004010895-protein107.fasta	8	32
GCF-900243355-protein2905.fasta	8	31
GCF-001548135-protein8959.fasta	8	29
GCF-003288355-protein78.fasta	8	28
GCF-003950015-protein7863.fasta	8	27
GCF-007559105-protein4646.fasta	8	31
GCF-002215345-protein2569.fasta	9	31
GCF-003950015-protein12123.fasta	9	25
GCF-003411785-protein4812.fasta	10	30
GCF-003798105-protein11252.fasta	10	30
GCF-004010895-protein108.fasta	10	28
GCF-901472565-protein2683.fasta	10	29
GCF-003369775-protein3039.fasta	10	30
GCF-006971785-protein8450.fasta	10	24
GCF-002968755-protein12485.fasta	10	30
GCF-004010895-protein3837.fasta	10	1
GCF-001077475-protein11062.fasta	12	27
GCF-009662315-protein8650.fasta	12	26
GCF-003073695-protein11516.fasta	14	26
GCF-003950255-protein4744.fasta	14	0
GCF-003950015-protein13045.fasta	15	20
GCF-007559085-protein6900.fasta	15	22
GCF-006364795-protein2904.fasta	15	24
GCF-004102665-protein8044.fasta	15	25
GCF-011106815-protein8326.fasta	16	19
GCF-006971785-protein7785.fasta	16	23
GCF-007559085-protein7907.fasta	16	1
GCF-003950255-protein5003.fasta	17	14
GCF-011466835-protein5664.fasta	17	10
GCF-001874465-protein4274.fasta	18	14
GCF-004010895-protein3957.fasta	18	19
GCF-003571505-protein2779.fasta	19	19
GCF-003716765-protein5442.fasta	20	20
GCF-004102665-protein6726.fasta	20	0
GCF-003052005-protein667.fasta	21	19
GCF-003060845-protein11554.fasta	21	19
GCF-001516265-protein11130.fasta	21	19
GCF-003950015-protein7643.fasta	21	19
GCF-004355125-protein3855.fasta	22	7
GCF-007559065-protein1833.fasta	22	17
GCF-008033725-protein8451.fasta	27	11
GCF-009497675-protein6945.fasta	27	9
GCF-004102665-protein10152.fasta	28	0
GCF-007559125-protein6389.fasta	28	12
GCF-002208645-protein8753.fasta	34	5
GCF-004355125-protein2011.fasta	34	1
GCF-002085755-protein9951.fasta	35	5
GCF-900618255-protein7283.fasta	35	5
GCF-002192495-protein10349.fasta	36	4
GCF-003025345-protein5658.fasta	36	4
GCF-000829255-protein12045.fasta	38	0
GCF-002075065-protein6394.fasta	38	2
GCF-009497675-protein12732.fasta	38	2
GCF-001516345-protein3569.fasta	38	1
GCF-001721765-protein2884.fasta	38	1
GCF-002085755-protein10059.fasta	38	1
GCF-900095805-protein4827.fasta	38	1
GCF-003288335-protein7184.fasta	38	2
GCF-006971785-protein8537.fasta	38	2
GCF-003073695-protein9890.fasta	39	1
GCF-003950255-protein3247.fasta	39	1
GCF-001457615-protein4828.fasta	40	0
GCF-003073695-protein11324.fasta	40	0
GCF-002215345-protein911.fasta	40	0
GCF-002968755-protein8481.fasta	40	0
GCF-002812865-protein2534.fasta	40	0
GCF-003204335-protein9058.fasta	40	0
GCF-002968755-protein11856.fasta	40	0
GCF-002997005-protein11079.fasta	40	0
GCF-002968755-protein9926.fasta	40	0
GCF-003193645-protein8034.fasta	40	0
GCF-003060845-protein8351.fasta	40	0
GCF-901472595-protein10019.fasta	40	0
GCF-003369775-protein3866.fasta	40	0
GCF-004010895-protein231.fasta	40	0
GCF-003798145-protein9351.fasta	40	0
GCF-003950255-protein2043.fasta	40	0
GCF-003950255-protein1271.fasta	40	0
GCF-012276675-protein10529.fasta	40	0
GCF-003950255-protein3365.fasta	40	0
GCF-012276675-protein8125.fasta	40	0
GCF-003950255-protein4108.fasta	40	0
GCF-006971785-protein10780.fasta	40	0
