S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
3423764	3438718	63211	48258	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.2		True
relocation, inconsistency = -135535
3543567	3543868	78943	78642	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	98.01		True
indel: indel (<= 5bp)
3543365	3543565	79144	78944	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	96.52		True
local misassembly
3505181	3540895	116997	81283	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.55		True
local misassembly
3497114	3505055	124938	116998	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	98.02		True
interspecies translocation
3111270	3248503	124939	262128	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.56		True
interspecies translocation
3253231	3285479	294460	262227	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.19		True
CONTIG	k141_4	295014	misassembled
CONTIG	k141_5	3265	unaligned
CONTIG	k141_10	7844	unaligned
CONTIG	k141_14	2767	unaligned
821717	822319	603	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_15	98.84		True
unknown
789465	789584	20120	20001	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_15	95.83		True
unknown
788421	788770	21902	21553	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_15	97.71		True
unknown
CONTIG	k141_15	21902	mis_unaligned
1229956	1230071	24	139	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	96.55		False
1033472	1033586	27	141	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	96.52		False
217719	217836	24	141	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	97.46		False
21040	21180	1	141	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	97.16		False
1231812	1231952	1	141	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.04		False
2490763	2490904	1	142	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	97.89		False
262673	276070	1	13398	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.45		False
5186385	5207757	21563	192	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.37		False
5179956	5185535	27182	21602	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.9		False
5178007	5179247	32281	31043	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.57		False
5171290	5173499	38854	36645	Klebsiella_variicola_NZ_CP047360.1	k141_16	97.42		False
5169508	5171279	40627	38856	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.73		False
5160989	5162630	49136	47495	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.16		False
5157272	5158401	52854	51725	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.64		False
5155884	5157252	54242	52874	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.98		False
5150559	5151144	59564	58979	Klebsiella_variicola_NZ_CP047360.1	k141_16	97.1		False
5143149	5148329	66943	61763	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.97		False
5140461	5143086	69631	67006	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.73		False
5132598	5134828	75493	73263	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.68		False
5116168	5116414	91915	91669	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.76		False
5112690	5114746	95386	93330	Klebsiella_variicola_NZ_CP047360.1	k141_16	96.6		False
5110399	5112685	97677	95391	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.28		False
5108887	5110395	99189	97681	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.23		False
277020	359970	20326	103277	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.27		False
5078587	5107749	129279	100117	Klebsiella_variicola_NZ_CP047360.1	k141_16	95.28		False
645699	645776	129357	129280	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	97.44		False
384496	384573	129280	129357	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	97.44		False
360004	384200	105161	129357	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.36		False
4798648	4800047	130757	129358	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.71		False
5120262	5121661	130757	129358	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.71		False
1132695	1134094	130757	129358	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.71		False
4330911	4332310	130757	129358	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.71		False
632505	633919	129343	130757	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.65		False
975069	976484	130757	129342	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.72		False
4971969	4973384	129342	130757	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.65		False
1460915	1462330	129342	130757	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_16	99.65		False
4862816	4864231	129342	130757	Klebsiella_variicola_NZ_CP047360.1	k141_16	99.51		False
3071556	3072972	129341	130757	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.65		False
1274811	1310122	1	35311	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.58		True
relocation, inconsistency = 534944
645823	739866	129357	35312	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.52		True
relocation, inconsistency = 239785
404638	406037	130757	129358	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_16	99.71		True
CONTIG	k141_16	130757	misassembled
819051	821546	2495	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_17	99.56		True
CONTIG	k141_17	2495	correct
311705	311845	141	1	Klebsiella_pneumoniae_CP049891.1	k141_19	100.0		False
19204	19343	141	1	Klebsiella_pneumoniae_CP049891.1	k141_19	99.29		False
5144529	5198408	54022	142	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_19	99.52		True
CONTIG	k141_19	58263	correct
660164	680693	20583	1	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_21	97.55		True
CONTIG	k141_21	20583	correct
CONTIG	k141_24	1737	unaligned
CONTIG	k141_25	2358	unaligned
CONTIG	k141_27	2427	unaligned
CONTIG	k141_35	599	unaligned
565758	565967	5487	5278	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_36	99.52		False
4890781	4890990	5278	5487	Klebsiella_variicola_NZ_CP047360.1	k141_36	99.52		True
CONTIG	k141_36	5646	correct_unaligned
CONTIG	k141_38	727	unaligned
259058	259569	1	512	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_41	99.41	True	True
682272	682783	1	512	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_41	99.22	True	True
1029762	1030273	1	512	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_41	98.83	True	True
1271295	1271806	1	512	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_41	98.83	True	True
CONTIG	k141_41	512	ambiguous
5420374	5444053	23681	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_51	99.42		False
5420374	5422846	23771	21209	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_51	96.06		False
5413770	5420450	30465	23785	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_51	99.33		False
5374836	5399767	55507	30570	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_51	99.02		False
1041034	1062240	1	21207	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_51	99.36		True
indel: stretch of mismatches
1062241	1096646	21208	55740	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_51	98.48		True
CONTIG	k141_51	57707	correct
821514	822216	703	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_56	99.86		True
CONTIG	k141_56	703	correct
811118	819245	32	8158	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_57	99.86		True
CONTIG	k141_57	8192	correct
1320397	1320946	3650	4199	Klebsiella_variicola_NZ_CP047360.1	k141_58	96.0		False
1320963	1321546	4216	4799	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.21		False
1321547	1321639	4801	4893	Klebsiella_variicola_NZ_CP047360.1	k141_58	98.92		False
1335243	1340352	12492	17601	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.17		False
1346694	1349951	23949	27206	Klebsiella_variicola_NZ_CP047360.1	k141_58	96.69		False
1350060	1352366	27302	29608	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.84		False
1358277	1360193	35519	37435	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.51		False
1360197	1369695	37439	46937	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.16		False
1369733	1369870	46976	47113	Klebsiella_variicola_NZ_CP047360.1	k141_58	97.1		False
1369872	1372159	47114	49401	Klebsiella_variicola_NZ_CP047360.1	k141_58	96.37		False
1372163	1376074	49402	53313	Klebsiella_variicola_NZ_CP047360.1	k141_58	96.83		False
1376078	1379421	53317	56660	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.33		False
1379441	1381707	56680	58946	Klebsiella_variicola_NZ_CP047360.1	k141_58	96.34		False
1381711	1389289	58947	66525	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.28		False
1389549	1393763	66765	70979	Klebsiella_variicola_NZ_CP047360.1	k141_58	95.14		False
1397843	1401954	75019	79130	Klebsiella_variicola_NZ_CP047360.1	k141_58	97.64		False
4842931	4843008	85621	85698	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
1648119	1648196	85698	85621	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
3879479	3879556	85621	85698	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
1649134	1649245	85698	85587	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
4841689	4841800	85587	85698	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
3878525	3878640	85583	85698	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
3878674	3878750	85623	85699	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
1648923	1649001	85699	85621	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
2670535	2670612	85701	85778	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
1408761	1408838	85701	85778	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
3956893	3956970	85778	85701	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
1648320	1648473	85778	85623	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	98.72		False
3879202	3879355	85623	85778	Klebsiella_variicola_NZ_CP047360.1	k141_58	98.72		False
1648623	1648779	85778	85621	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	99.37		False
3878894	3879050	85621	85778	Klebsiella_variicola_NZ_CP047360.1	k141_58	99.37		False
4842652	4842807	85621	85778	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	98.73		False
2670414	2670496	85701	85783	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
3957009	3957092	85783	85700	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
1408639	1408722	85700	85783	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
3879279	3879355	85824	85900	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
1648320	1648396	85900	85824	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
4842731	4842807	85824	85900	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
3956893	3956970	85900	85823	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
3878973	3879050	85823	85900	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
1648623	1648700	85900	85823	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
2669866	2669943	85823	85900	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
1408517	1408600	85822	85905	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
2670170	2670253	85822	85905	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
4842731	4842807	85945	86021	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
2670293	2670370	85944	86021	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
1408518	1408595	85944	86021	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
2669866	2669943	85944	86021	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
3957136	3957213	86021	85944	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
3878973	3879050	85944	86021	Klebsiella_variicola_NZ_CP047360.1	k141_58	100.0		False
1648623	1648700	86021	85944	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	100.0		False
2670093	2670491	85623	86021	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	100.0		False
2670535	2672978	85944	88387	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_58	99.75		False
3954526	3956892	88388	86022	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	99.62		False
3954526	4042934	88388	135	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	99.01		False
3954117	3956560	88797	86354	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	99.63		False
3954117	3956560	88797	86354	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_58	99.63		False
